"Domain","Capability","Priority","Present","MaturityScore","ProductionStatus","RelevantScreen","RelevantFile","APIOrDataSource","PermissionEvidence","AuditEvidence","TestEvidence","IntegrationEvidence","Screenshot","Gap","Risk","RecommendedNextTask","VerificationMethod","ManualUITested","CodeInspected","AutomatedTestPresent","BackendVerified","ExternalIntegrationVerified"
"L","Error monitoring (Sentry/Datadog)","High","No","0","Missing","","","None","","","None","None","","Feature absent","High","Integrate error tracking for frontend and backend","Unable to Verify","No","No","No","No","No"
"L","Performance monitoring","Medium","No","0","Missing","","","None","","","None","None","","Feature absent","Medium","Integrate APM (Datadog/New Relic) for production monitoring","Unable to Verify","No","No","No","No","No"
"L","Bundle size optimization","Medium","No","0","Missing","","","None","","","None","None","","4.8 MB bundle with chunk warning","Medium","Implement route-based code splitting to reduce initial bundle","Unable to Verify","No","No","No","No","No"
"L","Uptime monitoring and alerting","High","No","0","Missing","","","None","","","None","None","","Feature absent","High","Configure uptime monitoring with PagerDuty alerting","Unable to Verify","No","No","No","No","No"
"L","BAA with hosting provider","Critical","No","0","Missing","","","None","","","None","None","","Cannot confirm from codebase","Critical","Execute BAA with all technology vendors handling PHI","Unable to Verify","No","No","No","No","No"
"L","Penetration testing","Critical","No","0","Missing","","","None","","","None","None","","No evidence found","Critical","Schedule annual penetration test with clinical application scope","Unable to Verify","No","No","No","No","No"
"L","HIPAA risk analysis documentation","Critical","No","0","Missing","","","None","","","None","None","","No documentation found","Critical","Conduct and document formal HIPAA risk analysis before launch","Unable to Verify","No","No","No","No","No"
"M","Login events recorded","Critical","No","0","Missing","All","","None","","None","None","None","","No backend; login is staff picker only","Critical","Implement server-side session creation with login event logging","Unable to Verify","No","No","No","No","No"
"M","Failed-login events recorded","Critical","No","0","Missing","LoginPage","","None","","None","None","None","","No authentication system","Critical","Implement credential-based auth with failed-attempt audit logging","Unable to Verify","No","No","No","No","No"
"M","Patient-record access recorded","Critical","No","0","Missing","PatientDetail","","None","","None","None","None","","No backend access logging","Critical","Log every patient-record view server-side with user identity and timestamp","Unable to Verify","No","No","No","No","No"
"M","Document creation recorded","Critical","No","0","Missing","ProgressNotes","","None","","None","None","None","","Notes in-memory; no creation event persisted","Critical","Persist document creation event on note save","Unable to Verify","No","No","No","No","No"
"M","Document modification recorded","Critical","No","0","Missing","ProgressNotes","","None","","None","None","None","","In-memory state; no modification event","Critical","Persist document modification events with diff and author","Unable to Verify","No","No","No","No","No"
"M","Document signing recorded","Critical","No","0","Missing","ProgressNotes","SignatureModal.tsx","None","full for certified_clinician","None","None","None","","Signature UI exists; no backend event","Critical","Record signing event in append-only audit log with signer identity","Code Inspection","No","Yes","No","No","No"
"M","Document amendment recorded","Critical","No","0","Missing","ProgressNotes","","None","","None","None","None","","Addendum feature absent","Critical","Implement addendum workflow with amendment audit record","Unable to Verify","No","No","No","No","No"
"M","Export events recorded","High","No","0","Missing","ProgressNotes","","None","","None","None","None","","Export buttons exist but no export audit event","High","Log every data export with user, scope, and destination","Unable to Verify","No","No","No","No","No"
"M","Permission changes recorded","Critical","No","0","Missing","RoleExplorer","","None","","None","None","None","","No backend; role is demo picker","Critical","Log all role-assignment and permission-change events","Unable to Verify","No","No","No","No","No"
"M","Audit data persisted to durable store","Critical","No","0","Missing","All","","None","","None","None","None","","All audit data in-memory React state","Critical","Persist all audit events to append-only database table","Unable to Verify","No","No","No","No","No"
"M","Audit history immutable after write","Critical","No","0","Missing","All","","None","","None","None","None","","No audit store exists","Critical","Implement WORM or hash-chain audit store","Unable to Verify","No","No","No","No","No"
"M","Audit retention configurable per policy","High","No","0","Missing","All","","None","","None","None","None","","No retention implementation","High","Add configurable retention periods per record type","Unable to Verify","No","No","No","No","No"
"M","Audit log export available to compliance officers","High","Partial","1","Demo","AuditCompliance","AuditCompliance.tsx","None","full for director_of_operations","None","None","None","","Export UI exists; no real audit data behind it","High","Generate real audit export from persisted event store","Code Inspection","No","Yes","No","No","No"
"M","Audit log access permissioned by role","High","Partial","1","Demo","AuditCompliance","mockRoles.ts","None","director_of_operations: full","In-memory","None","None","","UI permission exists; no server enforcement","High","Enforce audit log access server-side with role claims","Code Inspection","No","Yes","No","No","No"
"M","Audit records contain user identity","Critical","No","0","Missing","All","","None","","None","None","None","","No real user identity exists","Critical","Include authenticated user ID in every audit record","Unable to Verify","No","No","No","No","No"
"M","Audit records contain timestamps","Critical","No","0","Missing","All","","None","","None","None","None","","No persisted audit records","Critical","Record server-side UTC timestamps on all audit events","Unable to Verify","No","No","No","No","No"
"M","Audit records contain patient context where appropriate","Critical","No","0","Missing","All","","None","","None","None","None","","No audit records persisted","Critical","Attach patientId to all patient-scoped audit events","Unable to Verify","No","No","No","No","No"
"M","Audit records exclude unnecessary sensitive content","High","No","0","Missing","All","","None","","None","None","None","","No audit records exist to review","High","Define PHI minimization rules for audit record content","Unable to Verify","No","No","No","No","No"
"N","Consent version tracking","Critical","No","0","Missing","ClinicalForms","","None","","None","None","None","","No consent backend","Critical","Implement versioned consent documents with effective dates","Unable to Verify","No","No","No","No","No"
"N","Consent revocation workflow","Critical","No","0","Missing","ClinicalForms","","None","","None","None","None","","No consent persistence","Critical","Implement consent revocation with downstream access revocation","Unable to Verify","No","No","No","No","No"
"N","Consent expiration date tracking","High","No","0","Missing","ClinicalForms","","None","","None","None","None","","No persistence","High","Track consent expiration with re-consent trigger 30 days before","Unable to Verify","No","No","No","No","No"
"N","Re-consent workflow trigger on version change","High","No","0","Missing","ClinicalForms","","None","","None","None","None","","No consent lifecycle","High","Trigger re-consent alert when policy version changes or consent expires","Unable to Verify","No","No","No","No","No"
"N","Consent audit trail including witness identity","Critical","No","0","Missing","ClinicalForms","","None","","None","None","None","","No backend","Critical","Record witness identity and method on consent record","Unable to Verify","No","No","No","No","No"
"N","Consent to disclose to family member","High","Partial","1","Demo","ClinicalForms","ClinicalForms.tsx","Page-local","full for clinical_supervisor","In-memory","None","None","","Not persisted; UI exists","High","Persist consent-to-disclose records with patient and recipient identity","Code Inspection","No","Yes","No","No","No"
"N","Consent to disclose to employer","Medium","Partial","1","Demo","ClinicalForms","ClinicalForms.tsx","Page-local","full for clinical_supervisor","In-memory","None","None","","Not persisted","Medium","Persist employer disclosure consent","Code Inspection","No","Yes","No","No","No"
"N","Consent to disclose to legal entity","High","Partial","1","Demo","ClinicalForms","ClinicalForms.tsx","Page-local","full for clinical_supervisor","In-memory","None","None","","Not persisted; critical for 42 CFR Part 2","High","Persist legal disclosure consent; enforce 42 CFR Part 2 restrictions","Code Inspection","No","Yes","No","No","No"
"N","Consent to photograph or video","Low","No","0","Missing","ClinicalForms","","None","","None","None","None","","Feature absent","Low","Add photo/video consent module","Unable to Verify","No","No","No","No","No"
"N","Minor consent and guardian signature","Critical","No","0","Missing","Admissions","","None","","None","None","None","","No guardian signature workflow","Critical","Implement minor consent with guardian identity verification and signature","Unable to Verify","No","No","No","No","No"
"N","Decision-making capacity assessment for consent","High","No","0","Missing","ClinicalForms","","None","","None","None","None","","Feature absent","High","Add capacity assessment with clinical attestation before consent","Unable to Verify","No","No","No","No","No"
"N","Healthcare proxy documentation","Medium","No","0","Missing","Admissions","","None","","None","None","None","","Feature absent","Medium","Add healthcare proxy upload and designation workflow","Unable to Verify","No","No","No","No","No"
"N","42 CFR Part 2 substance-use-specific disclosure consent","Critical","Partial","2","Demo","MedicalRecords","MedicalRecords.tsx","Page-local","full for admin_staff","In-memory","None","None","","UI exists; no backend enforcement","Critical","Implement backend SUD disclosure consent gating","Code Inspection","No","Yes","No","No","No"
"N","Consent to bill insurance","High","Partial","1","Demo","ClinicalForms","ClinicalForms.tsx","Page-local","full for billing_staff","In-memory","None","None","","Not persisted","High","Persist insurance billing consent with signature","Code Inspection","No","Yes","No","No","No"
"N","Consent to telehealth services","Critical","No","0","Missing","TelehealthConsults","","None","","None","None","None","","Feature absent; telehealth is placeholder","Critical","Add telehealth consent before any video session launch","Unable to Verify","No","No","No","No","No"
"N","Consent for recording of clinical sessions","Medium","No","0","Missing","ProgressNotes","","None","","None","None","None","","Feature absent","Medium","Add session recording consent before audio capture","Unable to Verify","No","No","No","No","No"
"N","Consent to use PHI for quality improvement","Medium","No","0","Missing","ClinicalForms","","None","","None","None","None","","Feature absent","Medium","Add QI data use consent per HIPAA research provisions","Unable to Verify","No","No","No","No","No"
"N","Consent document storage with tamper-evident hash","Critical","No","0","Missing","ClinicalForms","","None","","None","None","None","","No document storage","Critical","Store consent documents with SHA-256 hash for integrity verification","Unable to Verify","No","No","No","No","No"
"O","Controlled substance count reconciliation","Critical","No","0","Missing","NursingMAR","","None","","None","None","None","","No dual-count workflow","Critical","Implement dual-nurse count reconciliation with backend persistence","Unable to Verify","No","No","No","No","No"
"O","Narcotic count discrepancy documentation","Critical","No","0","Missing","NursingMAR","","None","","None","None","None","","No discrepancy workflow","Critical","Add discrepancy report with mandatory supervisor notification","Unable to Verify","No","No","No","No","No"
"O","Medication storage temperature monitoring","High","No","0","Missing","NursingMAR","","None","","None","None","None","","Feature absent","High","Add temperature log for refrigerated medications with out-of-range alert","Unable to Verify","No","No","No","No","No"
"O","Medication destruction documentation","Critical","No","0","Missing","NursingMAR","","None","","None","None","None","","Feature absent","Critical","Add controlled substance destruction documentation with witness signature","Unable to Verify","No","No","No","No","No"
"O","High-alert medication protocols and double-check","Critical","No","0","Missing","NursingMAR","","None","","None","None","None","","No high-alert flags in formulary","Critical","Flag methadone and buprenorphine with mandatory double-check workflow","Unable to Verify","No","No","No","No","No"
"O","Medication error incident documentation","Critical","Partial","1","Demo","IncidentReporting","IncidentReporting.tsx","Page-local","full for clinical_supervisor","In-memory","None","None","","Incident page exists; not linked to MAR events; not persisted","Critical","Link MAR events to incident reporting with auto-trigger for serious errors","Code Inspection","No","Yes","No","No","No"
"O","Near-miss medication event tracking","High","No","0","Missing","IncidentReporting","","None","","None","None","None","","Near-miss category absent","High","Add near-miss medication event category to incident reporting","Unable to Verify","No","No","No","No","No"
"O","IM medication administration route documentation","High","Partial","1","Demo","NursingMAR","NursingMAR.tsx","mockMedications.ts","full for nursing","In-memory","None","None","","Route documented in UI; not persisted","High","Persist IM administration with site and nurse identity","Code Inspection","No","Yes","No","No","No"
"O","SL sublingual medication administration documentation","High","Partial","1","Demo","NursingMAR","NursingMAR.tsx","mockMedications.ts","full for nursing","In-memory","None","None","","Route documented; not persisted","High","Persist SL administration events","Code Inspection","No","Yes","No","No","No"
"O","Patient-owned medication policy workflow","High","No","0","Missing","NursingMAR","","None","","None","None","None","","No patient-owned medication tracking","High","Implement patient-owned medication documentation with clinical review","Unable to Verify","No","No","No","No","No"
"O","Medication refusal documentation and escalation","High","No","0","Missing","NursingMAR","","None","","None","None","None","","Refusal UI may exist; escalation absent","High","Persist refusals with escalation to prescriber after repeated refusal","Unable to Verify","No","No","No","No","No"
"O","Medication non-compliance documentation","High","No","0","Missing","NursingMAR","","None","","None","None","None","","Not persisted","High","Persist non-compliance with treatment plan linkage","Unable to Verify","No","No","No","No","No"
"O","Returned and unused medication documentation at discharge","High","No","0","Missing","NursingMAR","","None","","None","None","None","","Feature absent","High","Add returned/destroyed medication workflow for discharge","Unable to Verify","No","No","No","No","No"
"O","Pharmacy delivery tracking and receipt confirmation","High","No","0","Missing","NursingMAR","","None","","None","None","None","","No pharmacy integration","High","Integrate pharmacy management system for delivery tracking","Unable to Verify","No","No","No","No","No"
"O","PRN effectiveness follow-up documentation","High","Partial","1","Demo","NursingMAR","NursingMAR.tsx","mockMedications.ts","full for nursing","In-memory","None","None","","PRN admin documented; effectiveness follow-up absent","High","Add PRN effectiveness assessment 30-60 minutes post-administration","Code Inspection","No","Yes","No","No","No"
"O","Pharmacy delivery confirmation signature","High","No","0","Missing","NursingMAR","","None","","None","None","None","","Feature absent","High","Require pharmacist delivery confirmation signature on controlled substances","Unable to Verify","No","No","No","No","No"
"O","Medication cost and formulary tier reporting","Medium","No","0","Missing","FormularyManagement","","None","","None","None","None","","No real cost data","Medium","Compute formulary cost impact from real order data","Unable to Verify","No","No","No","No","No"
"O","Investigational drug protocol tracking","Low","No","0","Missing","NursingMAR","","None","","None","None","None","","Feature absent","Low","Add investigational drug protocol documentation if research programs are planned","Unable to Verify","No","No","No","No","No"
"O","Intranasal medication administration documentation","Medium","Partial","1","Demo","NursingMAR","NursingMAR.tsx","mockMedications.ts","full for nursing","In-memory","None","None","","Route shown; not persisted","Medium","Persist intranasal administration events with dose and site","Code Inspection","No","Yes","No","No","No"
"O","Self-administered medication policy documentation","Medium","No","0","Missing","NursingMAR","","None","","None","None","None","","No self-admin policy workflow","Medium","Add self-administration policy workflow and patient education documentation","Unable to Verify","No","No","No","No","No"
"P","CIWA-Ar score automated trending and graphing","Critical","Partial","2","Demo","WithdrawalMonitor","WithdrawalMonitor.tsx","mockPatients.ts","full for nursing","In-memory","None","None","","UI trend line shown; not persisted across sessions","Critical","Persist CIWA-Ar scores and render trend chart from real data","Code Inspection","No","Yes","No","No","No"
"P","CIWA-Ar protocol-based escalation trigger","Critical","No","0","Missing","WithdrawalMonitor","","None","","None","None","None","","Threshold alert UI-only; no real escalation","Critical","Implement CIWA-Ar threshold-triggered escalation with real notification routing","Unable to Verify","No","No","No","No","No"
"P","COWS score automated trending and graphing","Critical","Partial","2","Demo","WithdrawalMonitor","WithdrawalMonitor.tsx","mockPatients.ts","full for nursing","In-memory","None","None","","UI trend shown; not persisted","Critical","Persist COWS scores with trend rendering","Code Inspection","No","Yes","No","No","No"
"P","COWS protocol-based escalation trigger","Critical","No","0","Missing","WithdrawalMonitor","","None","","None","None","None","","No real escalation delivery","Critical","Implement COWS escalation with on-call provider notification","Unable to Verify","No","No","No","No","No"
"P","Bayley Sedation Scale (BARS) documentation","Medium","No","0","Missing","WithdrawalMonitor","","None","","None","None","None","","Feature absent","Medium","Add BARS sedation scale if benzodiazepines are used in protocol","Unable to Verify","No","No","No","No","No"
"P","Seizure precautions and risk documentation at high CIWA-Ar","Critical","No","0","Missing","WithdrawalMonitor","","None","","None","None","None","","No seizure risk documentation workflow","Critical","Add seizure precaution documentation and provider alert at high CIWA-Ar score","Unable to Verify","No","No","No","No","No"
"P","Delirium risk assessment at admission","High","No","0","Missing","Admissions","","None","","None","None","None","","Feature absent","High","Add delirium risk screening (CAM or DRS-R-98) at admission for high-risk patients","Unable to Verify","No","No","No","No","No"
"P","Withdrawal symptom patient education documentation","Medium","No","0","Missing","WithdrawalMonitor","","None","","None","None","None","","Feature absent","Medium","Add patient education checklist for expected withdrawal symptoms","Unable to Verify","No","No","No","No","No"
"P","Medical comorbidity screen linked to withdrawal protocol","High","No","0","Missing","WithdrawalMonitor","","None","","None","None","None","","Feature absent","High","Add comorbidity screen linked to withdrawal protocol selection","Unable to Verify","No","No","No","No","No"
"P","Autonomic symptom item documentation in withdrawal scoring","High","Partial","1","Demo","WithdrawalMonitor","WithdrawalMonitor.tsx","mockPatients.ts","full for nursing","In-memory","None","None","","Individual symptom items in CIWA/COWS UI; not persisted","High","Persist individual symptom scores per assessment","Code Inspection","No","Yes","No","No","No"
"P","Withdrawal nursing note linked to assessment score","High","No","0","Missing","WithdrawalMonitor","","None","","None","None","None","","No nursing note type linked to withdrawal assessments","High","Create withdrawal nursing note template auto-populated from CIWA/COWS scores","Unable to Verify","No","No","No","No","No"
"P","Physician order set triggered by withdrawal score threshold","Critical","No","0","Missing","PhysicianOrders","","None","","None","None","None","","No linkage between withdrawal score and order entry","Critical","Implement order set triggered by CIWA-Ar or COWS threshold score","Unable to Verify","No","No","No","No","No"
"Q","Provider availability calendar configuration","High","Partial","1","Demo","AppointmentCalendar","AppointmentCalendar.tsx","Page-local","full for admin_staff","In-memory","None","None","","Availability is UI placeholder; not persisted","High","Persist provider availability with conflict-detection rules","Code Inspection","No","Yes","No","No","No"
"Q","Room and resource scheduling","High","No","0","Missing","AppointmentCalendar","","None","","None","None","None","","No room or resource calendar","High","Add room and resource booking to appointment scheduler","Unable to Verify","No","No","No","No","No"
"Q","Group session capacity limit enforcement","High","Partial","1","Demo","GroupSchedule","GroupSchedule.tsx","mockGroups.ts","full for admin_staff","In-memory","None","None","","Capacity shown; not enforced with backend validation","High","Enforce capacity limit server-side at booking time","Code Inspection","No","Yes","No","No","No"
"Q","Recurring appointment series creation","High","No","0","Missing","AppointmentCalendar","","None","","None","None","None","","Feature absent","High","Add recurrence rules with series edit and cancellation capability","Unable to Verify","No","No","No","No","No"
"Q","Individual therapy frequency tracking per treatment plan goal","High","No","0","Missing","AppointmentCalendar","","None","","None","None","None","","No linkage between treatment plan frequency and calendar","High","Link treatment plan session frequency to scheduling compliance reports","Unable to Verify","No","No","No","No","No"
"Q","Holiday and facility-closure calendar management","Medium","No","0","Missing","AppointmentCalendar","","None","","None","None","None","","Feature absent","Medium","Add facility-closure calendar blocking with rescheduling workflow","Unable to Verify","No","No","No","No","No"
"Q","Last-minute cancellation and rescheduling workflow","High","Partial","1","Demo","AppointmentCalendar","AppointmentCalendar.tsx","Page-local","full for admin_staff","In-memory","None","None","","Cancellation status tracked in UI; no rescheduling workflow","High","Add rescheduling prompt and waitlist backfill on cancellation","Code Inspection","No","Yes","No","No","No"
"Q","Appointment check-in timestamp recording","High","No","0","Missing","AppointmentCalendar","","None","","None","None","None","","Feature absent","High","Add patient check-in with timestamp and staff confirmation","Unable to Verify","No","No","No","No","No"
"Q","Session outcome documentation at appointment completion","High","No","0","Missing","AppointmentCalendar","","None","","None","None","None","","No post-session outcome documentation","High","Trigger note creation prompt at appointment completion","Unable to Verify","No","No","No","No","No"
"Q","Therapist caseload balance reporting","Medium","No","0","Missing","StaffScheduling","","None","","None","None","None","","No real caseload data","Medium","Compute caseload balance from real appointment and patient assignment data","Unable to Verify","No","No","No","No","No"
"Q","Appointment type CPT billing code pre-mapping","High","No","0","Missing","AppointmentCalendar","","None","","None","None","None","","No CPT mapping","High","Map each appointment type to default CPT code for charge capture","Unable to Verify","No","No","No","No","No"
"Q","Authorization-to-appointment session linkage","Critical","No","0","Missing","AppointmentCalendar","","None","","None","None","None","","No linkage between payer authorization and sessions","Critical","Link each appointment to authorization record; decrement remaining sessions","Unable to Verify","No","No","No","No","No"
"Q","Session duration documentation","High","Partial","1","Demo","AppointmentCalendar","AppointmentCalendar.tsx","Page-local","full for admin_staff","In-memory","None","None","","Duration shown; not persisted or used for billing","High","Persist session duration linked to CPT billing rules","Code Inspection","No","Yes","No","No","No"
"Q","Telehealth session URL generation and distribution","Critical","No","0","Missing","TelehealthConsults","","None","","None","None","None","","No video platform integration","Critical","Integrate HIPAA-compliant video provider and generate secure session links","Unable to Verify","No","No","No","No","No"
"Q","Group therapy attendance roster documentation","High","Partial","2","Demo","GroupNotes","GroupNotes.tsx","mockGroups.ts","full for certified_clinician","In-memory","None","None","","Per-member attendance in UI; not persisted","High","Persist group attendance roster linked to group note","Code Inspection","No","Yes","No","No","No"
"R","UR reviewer role assignment","High","Partial","1","Demo","InsuranceAuthorization","InsuranceAuthorization.tsx","Page-local","full for billing_staff","In-memory","None","None","","Reviewer assignment UI-only; no backend","High","Persist reviewer assignment with task routing and SLA timer","Code Inspection","No","Yes","No","No","No"
"R","Physician attestation for continued stay","Critical","No","0","Missing","InsuranceAuthorization","","None","","None","None","None","","Feature absent","Critical","Add physician attestation signature workflow to concurrent review","Unable to Verify","No","No","No","No","No"
"R","Clinical escalation to medical director for UR denial","High","No","0","Missing","InsuranceAuthorization","","None","","None","None","None","","No escalation workflow","High","Add UR escalation path to medical director with response documentation","Unable to Verify","No","No","No","No","No"
"R","Payer auditor read-only access management","High","No","0","Missing","StaffAdmin","","None","","None","None","None","","No external access controls","High","Implement time-limited read-only payer access with audit trail","Unable to Verify","No","No","No","No","No"
"R","Concurrent review tracking per payer with days remaining","High","Partial","2","Demo","InsuranceAuthorization","InsuranceAuthorization.tsx","Page-local","full for billing_staff","In-memory","None","None","","Days remaining shown; not tied to real payer response","High","Persist authorization records with payer-confirmed remaining days","Code Inspection","No","Yes","No","No","No"
"R","PHP and IOP outpatient authorization tracking","High","Partial","1","Demo","InsuranceAuthorization","InsuranceAuthorization.tsx","Page-local","full for billing_staff","In-memory","None","None","","UI supports; not differentiated from inpatient","High","Add LOC-specific authorization tracking for PHP and IOP","Code Inspection","No","Yes","No","No","No"
"R","UR deadline calendar and alert management","High","No","0","Missing","InsuranceAuthorization","","None","","None","None","None","","No automated deadline tracking","High","Add due-date alerts for UR submissions 24/48 hours before deadline","Unable to Verify","No","No","No","No","No"
"R","Payer-specific clinical criteria reference library","High","No","0","Missing","InsuranceAuthorization","","None","","None","None","None","","Feature absent","High","Build configurable payer criteria library (MCG or InterQual mapping)","Unable to Verify","No","No","No","No","No"
"R","UR documentation export in payer-required format","High","No","0","Missing","InsuranceAuthorization","","None","","None","None","None","","Export button exists; no real data","High","Generate payer-formatted UR documentation package for submission","Unable to Verify","No","No","No","No","No"
"R","Level-of-care appeal outcome tracking","High","Partial","1","Demo","InsuranceAuthorization","InsuranceAuthorization.tsx","Page-local","full for billing_staff","In-memory","None","None","","Appeal status tracked in UI; outcome not persisted","High","Persist appeal outcomes with timeline and result documentation","Code Inspection","No","Yes","No","No","No"
"R","UR staff productivity and denial rate reporting","Medium","Partial","1","Demo","RevenueCycle","RevenueCycle.tsx","Page-local","full for billing_staff","None","None","None","","Mock data only","Medium","Compute real UR productivity from persisted authorization and denial records","Code Inspection","No","Yes","No","No","No"
"R","Payer-specific authorization number tracking","Critical","Partial","1","Demo","InsuranceAuthorization","InsuranceAuthorization.tsx","Page-local","full for billing_staff","In-memory","None","None","","Auth numbers in UI state only; lost on refresh","Critical","Persist authorization numbers with payer ID and effective date range","Code Inspection","No","Yes","No","No","No"
"S","Charge master (CDM) configuration","Critical","No","0","Missing","RevenueCycle","","None","","None","None","None","","Feature absent","Critical","Build charge master with service code, revenue code, and price mapping","Unable to Verify","No","No","No","No","No"
"S","Service-to-procedure code mapping","Critical","No","0","Missing","RevenueCycle","","None","","None","None","None","","No CPT mapping logic","Critical","Map each clinical service type to applicable CPT/HCPCS codes","Unable to Verify","No","No","No","No","No"
"S","Diagnosis-procedure code pairing validation","Critical","No","0","Missing","RevenueCycle","","None","","None","None","None","","No code validation logic","Critical","Implement ICD-10/CPT code pairing validation per payer edits","Unable to Verify","No","No","No","No","No"
"S","UB-04 revenue code mapping for institutional claims","Critical","No","0","Missing","RevenueCycle","","None","","None","None","None","","Feature absent","Critical","Map facility services to appropriate UB-04 revenue codes","Unable to Verify","No","No","No","No","No"
"S","Modifier code application","High","No","0","Missing","RevenueCycle","","None","","None","None","None","","No modifier logic","High","Implement modifier rules (GT for telehealth, HF for substance use)","Unable to Verify","No","No","No","No","No"
"S","Pre-submission claim scrubbing","Critical","No","0","Missing","RevenueCycle","","None","","None","None","None","","No scrubbing engine","Critical","Implement claim scrubbing with payer-specific edits before clearinghouse submission","Unable to Verify","No","No","No","No","No"
"S","Claim batch submission tracking","High","No","0","Missing","RevenueCycle","","None","","None","None","None","","Feature absent","High","Track each batch submission with timestamp and line count","Unable to Verify","No","No","No","No","No"
"S","Claim rejection reason code analysis and categorization","High","No","0","Missing","RevenueCycle","","None","","None","None","None","","No rejection processing","High","Parse and categorize rejection reason codes for corrective action","Unable to Verify","No","No","No","No","No"
"S","Secondary payer claim submission workflow","High","No","0","Missing","RevenueCycle","","None","","None","None","None","","Feature absent","High","Implement secondary claim generation after primary EOB receipt","Unable to Verify","No","No","No","No","No"
"S","Coordination of benefits (COB) management","High","No","0","Missing","RevenueCycle","","None","","None","None","None","","Feature absent","High","Implement COB logic for dual-covered patients","Unable to Verify","No","No","No","No","No"
"S","Medicare ABN documentation","Critical","No","0","Missing","RevenueCycle","","None","","None","None","None","","Feature absent","Critical","Add ABN generation workflow for Medicare patients when coverage uncertain","Unable to Verify","No","No","No","No","No"
"S","Maryland Medicaid encounter submission to MCOs","Critical","No","0","Missing","RevenueCycle","","None","","None","None","None","","Feature absent; Maryland MCO rules required","Critical","Implement Maryland HealthChoice encounter submission to MCOs","Unable to Verify","No","No","No","No","No"
"S","Credit balance identification and resolution workflow","Medium","No","0","Missing","RevenueCycle","","None","","None","None","None","","Feature absent","Medium","Add credit balance queue with refund workflow and compliance reporting","Unable to Verify","No","No","No","No","No"
"S","Payer recoupment and overpayment tracking","High","No","0","Missing","RevenueCycle","","None","","None","None","None","","Feature absent","High","Track payer recoupment requests with dispute and repayment workflow","Unable to Verify","No","No","No","No","No"
"S","Remittance reconciliation reporting","Critical","No","0","Missing","RevenueCycle","","None","","None","None","None","","Feature absent","Critical","Reconcile ERA payments against expected amounts with exception reporting","Unable to Verify","No","No","No","No","No"
"S","Financial class assignment at registration","High","No","0","Missing","Admissions","","None","","None","None","None","","Financial class not recorded at intake","High","Add financial class field at admission linked to payer verification result","Unable to Verify","No","No","No","No","No"
"S","Self-pay payment plan management","High","Partial","1","Demo","FinancialCounseling","FinancialCounseling.tsx","Page-local","full for billing_staff","In-memory","None","None","","Payment plan UI exists; not persisted; no payment processor","High","Connect payment plan to real payment processor (Stripe or InstaMed)","Code Inspection","No","Yes","No","No","No"
"S","Claim attachment (clinical records) management","High","No","0","Missing","RevenueCycle","","None","","None","None","None","","Feature absent","High","Add clinical documentation attachment to claims requiring medical records","Unable to Verify","No","No","No","No","No"
"S","Billing staff productivity dashboard","Medium","Partial","1","Demo","RevenueCycle","RevenueCycle.tsx","Page-local","full for billing_staff","None","None","None","","UI exists; all mock data","Medium","Feed productivity queue from real claim submission and denial data","Code Inspection","No","Yes","No","No","No"
"S","Value-based care and bundled payment contract tracking","Medium","No","0","Missing","RevenueCycle","","None","","None","None","None","","Feature absent","Medium","Add contract type tracking for VBC and bundled payment arrangements","Unable to Verify","No","No","No","No","No"
"T","Competency assessment documentation per role","High","No","0","Missing","StaffAdmin","","None","","None","None","None","","Feature absent","High","Add role-specific competency assessment checklist with attestation","Unable to Verify","No","No","No","No","No"
"T","Annual performance review workflow","Medium","No","0","Missing","StaffAdmin","","None","","None","None","None","","Feature absent","Medium","Add structured performance review with goal setting and manager sign-off","Unable to Verify","No","No","No","No","No"
"T","Disciplinary action documentation","High","No","0","Missing","StaffAdmin","","None","","None","None","None","","Feature absent","High","Add progressive disciplinary action documentation with HR approval","Unable to Verify","No","No","No","No","No"
"T","Employee grievance and appeal tracking","Medium","No","0","Missing","StaffAdmin","","None","","None","None","None","","Feature absent","Medium","Add grievance filing and response tracking with timeline enforcement","Unable to Verify","No","No","No","No","No"
"T","FMLA leave tracking","High","No","0","Missing","StaffScheduling","","None","","None","None","None","","Feature absent","High","Add FMLA designation, certification, and leave balance tracking","Unable to Verify","No","No","No","No","No"
"T","ADA accommodation request documentation","High","No","0","Missing","StaffAdmin","","None","","None","None","None","","Feature absent","High","Add ADA accommodation request and approval workflow","Unable to Verify","No","No","No","No","No"
"T","Workers compensation incident documentation","High","No","0","Missing","IncidentReporting","","None","","None","None","None","","Feature absent; no OSHA linkage","High","Add workers compensation incident form with OSHA classification","Unable to Verify","No","No","No","No","No"
"T","Staff onboarding checklist management","High","No","0","Missing","StaffAdmin","","None","","None","None","None","","Feature absent","High","Add role-specific onboarding checklist with completion tracking","Unable to Verify","No","No","No","No","No"
"T","Staff offboarding and immediate access revocation","Critical","No","0","Missing","StaffAdmin","","None","","None","None","None","","No identity management backend","Critical","Implement immediate access revocation on offboarding with audit confirmation","Unable to Verify","No","No","No","No","No"
"T","Real-time staff-to-patient ratio reporting","Critical","No","0","Missing","StaffScheduling","","None","","None","None","None","","No real census or staffing data","Critical","Compute real-time staffing ratios from census and shift schedule data","Unable to Verify","No","No","No","No","No"
